"","date","comuna","region","codigo_comuna","n"
"408",2020-03-17,"Chiguayante","Biobio",8103,0
"409",2020-03-17,"Chile Chico","Aysen",11401,0
"410",2020-03-17,"Chillan","Nuble",16101,0
"411",2020-03-17,"Chillan Viejo","Nuble",16103,0
"412",2020-03-17,"Chimbarongo","Del Libertador General Bernardo O’Higgins",6303,0
"413",2020-03-17,"Cholchol","La Araucania",9121,0
"414",2020-03-17,"Chonchi","Los Lagos",10203,0
"415",2020-03-17,"Cisnes","Aysen",11202,0
"416",2020-03-17,"Cobquecura","Nuble",16202,0
"417",2020-03-17,"Cochamo","Los Lagos",10103,0
"418",2020-03-17,"Cochrane","Aysen",11301,0
"419",2020-03-17,"Codegua","Del Libertador General Bernardo O’Higgins",6102,0
"420",2020-03-17,"Coelemu","Nuble",16203,0
"421",2020-03-17,"Coihueco","Nuble",16302,0
"422",2020-03-17,"Coinco","Del Libertador General Bernardo O’Higgins",6103,0
"423",2020-03-17,"Colbun","Maule",7402,0
"424",2020-03-17,"Colchane","Tarapaca",1403,0
"425",2020-03-17,"Colina","Metropolitana",13301,0
"426",2020-03-17,"Collipulli","La Araucania",9202,0
"427",2020-03-17,"Coltauco","Del Libertador General Bernardo O’Higgins",6104,0
"428",2020-03-17,"Combarbala","Coquimbo",4302,0
"429",2020-03-17,"Concepcion","Biobio",8101,0
"430",2020-03-17,"Conchali","Metropolitana",13104,0
"431",2020-03-17,"Concon","Valparaiso",5103,0
"432",2020-03-17,"Constitucion","Maule",7102,0
"433",2020-03-17,"Contulmo","Biobio",8204,0
"434",2020-03-17,"Copiapo","Atacama",3101,0
"435",2020-03-17,"Coquimbo","Coquimbo",4102,0
"436",2020-03-17,"Coronel","Biobio",8102,0
"437",2020-03-17,"Corral","Los Rios",14102,0
"438",2020-03-17,"Coyhaique","Aysen",11101,0
"439",2020-03-17,"Cunco","La Araucania",9103,0
"440",2020-03-17,"Curacautin","La Araucania",9203,0
"441",2020-03-17,"Curacavi","Metropolitana",13503,0
"442",2020-03-17,"Curaco de Velez","Los Lagos",10204,0
"443",2020-03-17,"Curanilahue","Biobio",8205,0
"444",2020-03-17,"Curarrehue","La Araucania",9104,0
"445",2020-03-17,"Curepto","Maule",7103,0
"446",2020-03-17,"Curico","Maule",7301,0
"447",2020-03-17,"Dalcahue","Los Lagos",10205,0
"448",2020-03-17,"Desconocido Antofagasta","Antofagasta",0,0
"449",2020-03-17,"Desconocido Araucania","La Araucania",0,0
"450",2020-03-17,"Desconocido Arica y Parinacota","Arica y Parinacota",0,0
"451",2020-03-17,"Desconocido Atacama","Atacama",0,0
"452",2020-03-17,"Desconocido Aysen","Aysen",0,0
"453",2020-03-17,"Desconocido Biobio","Biobio",0,0
"454",2020-03-17,"Desconocido Coquimbo","Coquimbo",0,0
"455",2020-03-17,"Desconocido Del Libertador General Bernardo O’Higgins",NA,0,0
"456",2020-03-17,"Desconocido La Araucania",NA,0,0
"457",2020-03-17,"Desconocido Los Lagos","Los Lagos",0,0
"458",2020-03-17,"Desconocido Los Rios","Los Rios",0,0
"459",2020-03-17,"Desconocido Magallanes","Magallanes y la Antartica",0,0
"460",2020-03-17,"Desconocido Magallanes y la Antartica",NA,0,0
