"","comuna","region","codigo_comuna","oportunidad_comuna","oportunidad_region","oportunidad_pais","semana","dia"
"351","Ollague","Antofagasta",2202,NA,NA,NA,17,2020-04-22
"352","San Pedro de Atacama","Antofagasta",2203,NA,NA,NA,17,2020-04-22
"353","Sierra Gorda","Antofagasta",2103,NA,NA,NA,17,2020-04-22
"354","Taltal","Antofagasta",2104,NA,NA,NA,17,2020-04-22
"355","Tocopilla","Antofagasta",2301,NA,NA,NA,17,2020-04-22
"356","Angol","Araucanía",9201,NA,NA,NA,17,2020-04-22
"357","Carahue","Araucanía",9102,NA,NA,NA,17,2020-04-22
"358","Cholchol","Araucanía",9121,NA,NA,NA,17,2020-04-22
"359","Collipulli","Araucanía",9202,NA,NA,NA,17,2020-04-22
"360","Cunco","Araucanía",9103,NA,NA,NA,17,2020-04-22
"361","Curacautin","Araucanía",9203,NA,NA,NA,17,2020-04-22
"362","Curarrehue","Araucanía",9104,NA,NA,NA,17,2020-04-22
"363","Ercilla","Araucanía",9204,NA,NA,NA,17,2020-04-22
"364","Freire","Araucanía",9105,NA,NA,NA,17,2020-04-22
"365","Galvarino","Araucanía",9106,NA,NA,NA,17,2020-04-22
"366","Gorbea","Araucanía",9107,NA,NA,NA,17,2020-04-22
"367","Lautaro","Araucanía",9108,NA,NA,NA,17,2020-04-22
"368","Loncoche","Araucanía",9109,NA,NA,NA,17,2020-04-22
"369","Lonquimay","Araucanía",9205,NA,NA,NA,17,2020-04-22
"370","Los Sauces","Araucanía",9206,NA,NA,NA,17,2020-04-22
"371","Lumaco","Araucanía",9207,NA,NA,NA,17,2020-04-22
"372","Melipeuco","Araucanía",9110,NA,NA,NA,17,2020-04-22
"373","Nueva Imperial","Araucanía",9111,NA,NA,NA,17,2020-04-22
"374","Padre Las Casas","Araucanía",9112,NA,NA,NA,17,2020-04-22
"375","Perquenco","Araucanía",9113,NA,NA,NA,17,2020-04-22
"376","Pitrufquen","Araucanía",9114,NA,NA,NA,17,2020-04-22
"377","Pucon","Araucanía",9115,NA,NA,NA,17,2020-04-22
